id,title,artists,album,album_id,year,genre,duration_ms,added_at,available,content_warning
79043670,Жить не запретишь,Канги,Том I. «Жить не запретишь»,14702448,2021,rusrap,163960,2023-11-06T16:46:40+00:00,True,
106940825,Table For Two,Milky Chance,Trip Tape II,23380095,2022,indie,169570,2023-11-04T19:46:13+00:00,True,
69069,Escape (The Pina Colada Song),Rupert Holmes,Partners In Crime,9499924,2008,pop,277860,2023-10-31T20:59:11+00:00,True,
29895515,TR 707,"Dabeull, Holybrune",Fonk Delight,3605699,2014,disco,206070,2023-10-31T20:15:51+00:00,True,
1710818,Don't Stop Me Now,Queen,Jazz,225654,1978,rock,209390,2023-10-31T20:09:31+00:00,True,
25790,Lay All Your Love On Me,ABBA,Super Trouper,3216,1980,pop,272500,2023-10-31T19:46:10+00:00,True,
439825,L O V E,Michael Bublé,Call Me Irresponsible,9239516,2007,vocaljazz,170770,2023-10-31T19:43:09+00:00,True,
25963,Can't Take My Eyes Off You,Engelbert Humperdinck,A Man Without Love,4385271,1968,relax,216900,2023-10-31T19:38:09+00:00,True,
117929984,Стоп Игра,ЛСП,Несчастные люди,27623312,2023,rusrap,176060,2023-10-31T15:08:18+00:00,True,
117960576,Позвони,25/17,Радость встреч и расставаний,27634457,2023,rusrap,315960,2023-10-31T09:27:48+00:00,True,
117960574,Хлопок,25/17,Радость встреч и расставаний,27634457,2023,rusrap,234450,2023-10-31T04:13:55+00:00,True,
96341233,Never Coming Back,"Dabeull, Sofiane Pamart, Dee Eye",Loving Life,19732108,2021,electronics,129680,2023-10-30T14:36:38+00:00,True,
62706603,Borderline,Tame Impala,The Slow Rush,9910541,2020,rock,237790,2023-10-29T14:45:47+00:00,True,
82213054,Messages from the Stars,"Dabeull, Rude Jude, Holybrune",Messages from the Stars,15329280,2021,rnb,166000,2023-10-26T20:17:39+00:00,True,
106367906,УЛЫБАТЬСЯ,GRILLYAZH,УЛЫБАТЬСЯ,23174554,2022,rusrap,170230,2023-10-26T19:50:39+00:00,True,
113182238,Вечная весна,ЛСП,Несчастные люди,27623312,2023,rusrap,167880,2023-10-26T19:19:44+00:00,True,
72545250,В жизни так бывает,Lizer,"Молодость, Ч. 1",12491744,2020,rusrap,214640,2023-10-26T17:53:56+00:00,True,
52140960,Улица,Lizer,Не ангел,7321930,2019,rusrap,205480,2023-10-26T03:41:50+00:00,True,
77491165,Верю,Lizer,ТЕПЛО,13743884,2021,rusrap,162020,2023-10-25T14:56:37+00:00,True,
92607049,Тени Хиросимы,GONE.Fludd,DIGITAL FANTAZY,18572919,2021,rusrap,134180,2023-10-23T21:19:01+00:00,True,
100526391,Вольта,"TAPENIGHT, ЛАУД",Вольта,21106881,2022,ruspop,186880,2023-10-22T08:25:01+00:00,True,
33395002,Stayin’ Alive,Bee Gees,Saturday Night Fever,4825498,1977,soundtrack,297920,2023-10-20T21:27:08+00:00,True,
72545247,Характер,Lizer,"Молодость, Ч. 1",12491744,2020,rusrap,213090,2023-10-20T18:15:26+00:00,True,explicit
88871455,Monster,NICKY ØDESSA,Monster,17357351,2021,electronics,232430,2023-10-20T17:29:45+00:00,True,
793024,Say It,Blue October,Approaching Normal,88425,2009,rock,218640,2023-10-20T17:22:05+00:00,True,explicit
25364770,Wild World,Me First And The Gimme Gimmes,Blow in the Wind,2989443,2001,rock,150570,2023-10-20T17:16:25+00:00,True,
63544666,Fell For You,Ship Wrek,Mirror Mirror,10120993,2020,dance,178360,2023-10-19T03:46:19+00:00,True,explicit
75049870,На обратной стороне земли,Дора,"Боже, храни кьют-рок",13158280,2020,ruspop,250750,2023-10-16T19:48:56+00:00,True,
64365946,Под утро,CAPTOWN,Под утро,10332344,2020,rusrap,180480,2023-10-14T20:06:12+00:00,True,explicit
84517789,Back In Love City,The Vaccines,Back In Love City,17591056,2021,alternative,213880,2023-10-14T19:46:32+00:00,True,
106246811,Ворк слип репит 2,КУОК,Imago,23135256,2022,rusrap,152050,2023-10-12T21:17:37+00:00,True,
48785174,Как будто тут,"IDAN, Markul",Плот Моего Воображения 2: Вакуум,6655277,2018,rusrap,184810,2023-10-12T20:26:23+00:00,True,
108549710,Город,GONE.Fludd,Поколение Брат,23955910,2022,rusrap,128940,2023-10-12T19:53:14+00:00,True,
115451099,Самый пьяный округ в мире,MACAN,Самый пьяный округ в мире,26579125,2023,rusrap,126940,2023-10-12T19:21:34+00:00,True,
111399226,Старые снимки,Koles & Paha,Старые снимки,24887817,2023,rusrap,126720,2023-10-12T19:14:54+00:00,True,
89775312,Welcome To The People,Jaded,Welcome To The People,17651991,2021,dance,160660,2023-10-11T19:46:29+00:00,True,
97259570,Неоновое небо,"GSPD, DEAD BLONDE",Старые песни о главном,40965008,2021,dance,205440,2023-10-11T19:40:49+00:00,True,
98331065,Hollow Point,Pozle,Tales of Preyas,20405354,2022,rap,120000,2023-10-11T19:24:06+00:00,True,explicit
116652531,Поспешили,"MACAN, Jakone",Поспешили,27076894,2023,rusrap,126720,2023-10-11T19:06:46+00:00,True,explicit
18696976,На волне,25/17,На волне,1275098,2012,rusrap,230170,2023-10-11T18:56:28+00:00,True,
51379707,По Планете,"Basic Boy, Lizer",SUPERWORLD,7162677,2019,rusrap,211680,2023-10-10T18:00:08+00:00,True,
108223183,Мрак,"DenDerty, ЛСП",Мрак,23843867,2022,rusrock,163070,2023-10-10T17:54:08+00:00,True,
13184768,The Innocent,Mayer Hawthorne,Where Does This Door Go,1432938,2013,funk,202600,2023-10-05T06:07:01+00:00,True,
